Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
"Will stay again, but will have breakfast elsewhere in the city.","There aren't many places to have breakfast, but their food is good.","Wonderful location, quiet neighbourhood, easy access to underground.",10,May 2022,"June 7, 2022",Double Room,3,Couple,8
Very Good,"Lift was broken, many stairs with luggage. 
Would ask next time for a different room that was accessible by working lift.","Good location, clean room, hotel staff friendly. Great decoration for anniversary.",8.0,August 2024,"August 28, 2024",Deluxe Double Room,3,Couple,8
Was fine for a short stay in London,Room was a bit small for 2 luggage cases and you had to go 2 doors down for breakfast,Location was excellent for catching the Tube Breakfast was nice,8.0,August 2024,"August 28, 2024",Deluxe Double Room,5,Couple,8
Comfortable and well located central London hotel.,"Room a bit small and in basement.
Only one window looking out onto small service atrium.","Excellent location at a good price.
Bed very comfortable.
Ensuite very good.
Other room facilities good.",7.0,August 2024,"August 27, 2024",Deluxe Double Room,1,Couple,8
Very Good,"The breakfast was very sparse, very limited choices for anyone with special requirements.","Location is superb— easy to get to from Heathrow and very close to metro. 
The room we stayed in had all the necessary facilities and was well kept.
The staff was helpful.",8.0,June 2024,"August 26, 2024",Deluxe Double Room,3,Couple,8
Good,Slow check in,"Good location, nice bathroom, good room size",7.0,August 2024,"August 26, 2024",Deluxe Double Room with Extra Bed,1,Group,8
Very Good,"The single room is very small, I’m 174cm and knocked my head multiple times on different appliances","Very good transportation near by, easy to get to almost all parts of the city, a lot of supermarkets and restaurants near by, felt like a  safe and quite area",8.0,August 2024,"August 24, 2024",Budget Single Room,2,Solo traveler,8
Amazing Location!,"The extra bed in our room was location just above the AC vent which mean that I was getting the air directly on my face and given its summer, turning it off was not an option. I did ask for an extra blanket/duvet but never got it.",The location is absolutely winner. Being walking distance to Earls Court station and also a variety of shops and restaurant makes it so convenient. The rooms were comfortable though a tad small but overall service was good. They were polite enough to allow us to change rooms given we didn't want to stay in the ground floor rooms.,8.0,August 2024,"August 23, 2024",Deluxe Double Room with Extra Bed,3,Group,8
The perfect base for central London.,"Tea and coffee could be refilled daily, but that's a very small constructive criticism.","A fabulous location, 2 mins walk from the Tube. Clean, modern, well-appointed rooms. Yes the rooms are smal,l but who goes to London to spend hours in their hotel room?",8.0,August 2024,"August 22, 2024",Deluxe Single Room,3,Solo traveler,8
Wonderful,,Excellent location.,9.0,July 2024,"August 22, 2024",Deluxe Double Room,3,Group,8
GO SOMEWHERE ELSE,Very poor front desk experience.  I checked in early and the woman seemed inept.  Then I showed up late in the afternoon and the staff seemed equally inept ...plus the first woman ate up a fair amount of my time because she couldn't figure out various things...so when the evening staff made me do some of this AGAIN it seemed a poor representation of the facility.  Ok hotel is well located - but the staff was so dumb TWICE that i wouldn't come again...many other places with equally good locations and prices.,,7.0,August 2024,"August 21, 2024",Double or Twin Room,1,Solo traveler,8
Perfect location and comfortable and clean rooms,"No ice machine…or it wasn’t working.
Pillows were not great.","Location couldn’t have been better!!! Loved that the tube station was so close. The little M&S market was perfect for food and drinks. It felt very safe!
Predeeb and Sike (I hope that’s how they spelled their names) were excellent at the front desk! They were so helpful and kind! 
Room was clean and beds comfortable.",9.0,August 2024,"August 19, 2024",Superior Double or Twin Room,8,Family,8
Great hotel,"No bar at the hotel.
There was a stain on my sheet so it wasn't clean","Check in was easy. Room was lively...had everything we wanted. Close to bars, shops and restaurants.",8.0,August 2024,"August 19, 2024",Deluxe Double Room with Extra Bed,1,Family,8
"Excellent location, clean, quite excellent staff. I have returned and will return in the future.","If the room was slightly bigger.  Lounge limited. No bar for evening drinks. Everything you can live without. 
Highly recommended","Clean, confortable big bed, quiet.",9.0,August 2024,"August 18, 2024",Deluxe Double or Twin Room,5,Couple,8
Good,The breakfast was cold on both mornings the staff in the breakfast room didn’t give you any information as to where the plates were or how to get tea and coffee .Our room was good but had an awful view of a brick wall when we arrived we were told our room was not ready but the American guests who checked in before us were told that there room was ready !,The proximity to Earl’s Court tube,7.0,August 2024,"August 16, 2024",Deluxe Double Room,2,Family,8
Wonderful,No plant milk options.,Close to Earls Court station and high street. Good selection of hot drinks and toiletries. Excellent shower.,9.0,August 2024,"August 14, 2024",Double Room,1,Family,8
Excellent location for short break in Central London,Room a little small,"Excellent location, clean , quiet at night",7.0,August 2024,"August 14, 2024",Deluxe Double Room,2,Couple,8
Wonderful,Nothing to complain about,"The zone where the hotel was located is very well positioned near everything. Also it's a safe and friendly zone.

The staff was very helpful and nice when needed help with anything.

The room was comfortable and very very clean. It was positioned at ground floor with a view on the main street which was a beautiful one. It also has a modern and easy to use ventilation system. Bathroom even if it was a small one it was very well take cared.

I would definitely stay here again next time when I'll come back in London!",9.0,August 2024,"August 13, 2024",Deluxe Single Room,3,Solo traveler,8
Great for short stay in London,"The value of the room high, small room.","Great location near by underground station, many different shops near by, great staff, and clean room.",9.0,August 2024,"August 13, 2024",Deluxe Double Room,5,Couple,8
Wonderful modern hotel with a great location,"The doors to the buildings are not automatic and you have to manually open them.  In our building there was an outer and inner door very close together. I think this improves security, but it made entry and exit with large luggage difficult. However, it appeared that most of the nearby buildings and other hotels we experienced there also had manual doors. There were also several spots that contained multi-level steps in the hallway on the way to our room. Also a bit difficult to navigate large luggage, but there was an elevator in the building so it was not a major issue. All their buildings had entryway stairs with no ramps.  Someone with limited mobility may have more difficulty staying here, but for us the quality of the hotel and its amenities made this just a minor inconvenience.","The location of the hotel was very convenient and a short walk from the Earl's Court station.  We stayed in a double room in the 24 Penywern Rd building, which was right next to their main building where you check in.  I didn't realize it when I booked it, but the room had 2 double beds in a suite-type set-up, which worked out just fine. Rooms were very modern and updated with sensor lighting and controls. Although somewhat small (possibly due to the 2 double beds), there was plenty of room to relax, sleep, and stay.  The toiletry amenities and in-room coffee set up and fridge were a plus, especially since most hotels no longer offer such perks.  Room was clean and the linens and towels were great quality, and the bed was very comfortable.  We did not purchase the breakfast with our reservation, but we were able to purchase breakfast separately on arrival. The breakfast was worth it in my opinion, and had a good selection of hot and cold offerings.  Staff was very polite and helpful.  Would definitely stay here again on our next trip to London.",9.0,August 2024,"August 8, 2024",Double Room,2,Couple,8
Good,The floor was wet near the bathroom and didn’t get rectified.,,7.0,August 2024,"August 8, 2024",Budget Double Room,4,Couple,8
Very Good,Breakfast with weak filter coffee,Small but comfortable rooms,8.0,August 2024,"August 8, 2024",Deluxe Single Room,1,Group,8
