Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Excellent staff clean rooms comfortable bed,Stairs no lift,"Staff were excellent very friendly and helpful 
Location was great",10,February 2024,"February 13, 2024",Twin Room with Shower,4,Family,8
I've never met such accommodating people that made me feel at home. Chris and David were the best.,"There was no air conditioning, no elevator, and the room and bathroom were very small. They did help us with our luggage since there was no elevator. They also provided a fan that helped keep the room a good temperature. With the window open, it's best to have ear plugs, as the train is very close and noisy till about 11pm.","The staff was excellent. They went above and beyond to make us happy. The breakfast was wonderful, also. It was great to have a frig filled with all sorts of alcoholic beverages on the house. For London, the room was an excellent value. We were able to walk to the eye and a whole underground of restaurants and things to see. Excellent location and great Pub.",9.0,July 2024,"August 22, 2024",Luxury Double Room,2,Couple,8
Perfect place for a busy weekend in london,Trains noise,"Customer service was amazing, everyone was so nice and helpful. Great location.",8.0,August 2024,"August 22, 2024",Family Room (2 Adults + 2 Children),1,Group,8
If it’s above £150 you should be able to be there for 24 hours at least and get your moneys worth .,"£180 for one night, check in 3pm and check out at 11am is a bit extortionate. Breakfast only ran for 2 hours.",I loved the location! The interior was awesome. The food and drink prices were great.,9.0,August 2024,"August 22, 2024",Luxury Double Room,1,Couple,8
Great place to rest our heads,Nothing,"Was in a great location, clean and good size room. 
Complimentary toiletries and food/drink items.",8.0,August 2024,"August 21, 2024",Twin Room with Shower,1,Group,8
Wonderful,Seemed a bit disorganised to find how to check in but did get sorted out quite quickly.,Good location clean quirky room with good facilities . Breakfast was lovely a good choice and vegan food available.   So lovely to have cold complimentary drinks in a fridge in the room.,9.0,August 2024,"August 18, 2024",Single Room with Shower,1,Solo traveler,8
One night was just fine.,The stairs were difficult to manage. They were many and very steep. It has made me think twice about booking there again.,"The food was great, 15% off too.
The hotel provided many additional extras for comfort and convenience.",7.0,August 2024,"August 9, 2024",Single Room with Shower,1,Solo traveler,8
Very Good,Nice room,Great location,8.0,August 2024,"August 7, 2024",Double Room with Shower,3,Couple,8
It served its purpose in being central,"The communal space was very tired and the room was rather dusty. 
We enquired about lost property but was never contacted back about it
The complimentary tray had no decaffeinated products",The location was great. The beds and bathrooms were good too. Clean linen and towels,7.0,July 2024,"August 4, 2024",Double Room with Shower,1,Family,8
"Excellent value and great, freindly staff - would definitely return!","Nothing that The Wellington could have done about this, but we did stay on one of the hottest days of the year and there's no air conditioning.  We were very fortunate that the room we stayed in had not had the sun on it (No. 16) and a fan had been provided so we were actually able to sleep pretty comfortably.  I don't know how that would have worked out if we had been in one of the rooms on the ""sunny side""!","This is a great Fullers pub in an excellent location; outstanding value for money, particularly in Central London.  The staff were all lovely and friendly, particularly the Italian man who checked us in!  We had drinks in the pub after going to the theatre nearby and there was a great buzz about the place - we particularly appreciated the huge screens as there was so much sport going on at the time (eg cricket, Olympics) that you could choose what to watch.  When we went up to our room we didn't notice any noise at all from the pub or surrounding areas, but we came prepared with earplugs any way. Our breakfast was included in the price and was excellent; freshly cooked and delicious.",8.0,August 2024,"August 2, 2024",Double Room with Shower,1,Couple,8
Highly recommend.,A lot of stairs. But out of anyone’s control.,Comfortable rooms. Close to all that London has to offer.,7.0,July 2024,"August 1, 2024",Double Room with Shower,3,Group,8
"Best location, great food and amazing staff.",The stairs are narrow and difficult to safely use when carrying a suitcase,The staff and location are awesome,8.0,July 2024,"July 30, 2024",Single Room with Shower,2,Solo traveler,8
Good,"Be aware, you are in the center of city, near train station. Therefore you shuld not expect silenece during the night, the city never sleeps :). But the hotel is aware of it and in the room you will find the ear plug to minimize the rush, And if you close the window, the sleeping is possible...","Perfect location, you can reach all major higlights of London. Example of aold england building, you can feel the history there.",7.0,July 2024,"July 30, 2024",Single Room with Shower,1,Solo traveler,8
Great place to stay opposite station,Stairs lol,"Close to central London and most things in walking distance 
Staff were great friendly and helpful",9.0,July 2024,"July 29, 2024",Double Room with Shower,4,Couple,8
Good value stay in an exceptional area for exploring London.,"Due to the location, yes you can feel and hear the trains. Didn't bother us much, the services mostly stop at nightime.
No lift. Quite a few stairs to some rooms.
Airconditioning isn't such a thing in England, in summer this room did get very very warm. You can ask staff for a portable fan if required.","Fun little stay above a pub in London.
Location is great, directly opposite major transport station and very walkable distance to many attractions.
Pub breakfast and discounts is a big plus. It is a popular pub for the area.
Room was comfortable. 
Mini fridge included with some free drinks.",8.0,June 2024,"July 25, 2024",Double Room with Shower,2,Couple,8
"Compact, warm good vibes","It was hot during a heatwave, although there is a small fan that helped out with that. The room is tiny! Also there was no remote for the TV, but we downloaded an app and used that.","The breakfast was great! Central location, close to train and subway stations. There was a fridge, tea and coffee, water provided every day, and toiletteries. Clean, although tiny room. Living above a pub during the European football championship was very convenient to watch it, great vibes. Our room had no noise problems- we heard the trains outside which we got used to immediately and afterwards it was even a soothing sound! No sounds from the street or pub, but i guess our room was facing the other way. Earplugs were not needed.",8.0,June 2024,"July 25, 2024",Double Room with Shower,5,Couple,8
"Great location, good breakfast",Some staff were a bit disinterested,Location,8.0,May 2024,"July 24, 2024",Double Room with Shower,2,Couple,8
Good,"The climb up the stairs is a challenge at the end of the day but it's an old building, so not surprised. 
It wouldn't hurt for the restaurant staff to clean the tables in the evening. They were proper sticky pub tables which isn't appealing when dining and is a shame as there wasn't anything wrong with the food.","Great location in a beautiful old building.  The room was well appointed, clean and comfortable though quite warm being on the third floor. We did have a fan, which helped a lot.",7.0,July 2024,"July 21, 2024",Family Room (2 Adults + 2 Children),1,Couple,8
Wonderful,,"The location is great. Room is small but perfectly fine. The whole team has been really nice during our stay. Breakfast is also really good. We also had lunch at the hotel and it was nice.
We enjoyed our stay and will recommend the hotel! Thank you.",9.0,July 2024,"July 16, 2024",Luxury Double Room,1,Couple,8
Location  in the heart of London next to a train station,Noise from the football going on until after one in the morning I understand it is a sports bar but one in the morning is a bit much for me .,Room was clean,7.0,July 2024,"July 12, 2024",Luxury Double Room,5,Couple,8
Perfect location for exploring London,Nothing,It was quirky and had much more character than chain hotels. The location was super! Right across from Waterloo station but also a short walk to Soho,8.0,June 2024,"July 12, 2024",Luxury Double Room,2,Couple,8
"Excellent location, lovely breakfast, room fairly basic but had everything that was needed",N/A,"Excellent location - 5 minutes to London Eye, 15-20 minutes to Trafalgar Square
Breakfast was great",8.0,July 2024,"July 11, 2024",Luxury Double Room,1,Couple,8
Wonderful,"Getting everything up the narrow steps was tricky, but we managed.","Breakfast was wonderful, and the staff was friendly.",9.0,June 2024,"July 9, 2024",Twin Room with Shower,1,Family,8
Wonderful,,In a very good location for transport and very good breakfast included,9.0,July 2024,"July 8, 2024",Double Room with Shower,3,Couple,8
Very Good,Only one thing was had problems with the TV thought it was the remote and got the battery's replaced but no good still wasn't a major problem so all said good stay,Location was brilliant for what we needed central to everything we had to do.staff were polite and helpful,8.0,July 2024,"July 7, 2024",Twin Room with Shower,1,Couple,8
Very enjoyable.,"Sometimes a little noisy as close to the train line and in a busy location but mostly fine.
Closing the windows reduced a lot of outside noise","Location, had everything I needed, the breakfast choices provided were excellent.",9.0,July 2024,"July 6, 2024",Single Room with Shower,4,Solo traveler,8
Great location and value for money in central London,,"Brilliantly located room in the Wellington pub. 5 minutes from Waterloo underground and close to loads of central London attractions which were easily walkable. Room was large, clean and extremely comfortable and staff were friendly and welcoming.",9.0,July 2024,"July 6, 2024",Twin Room with Shower,1,Couple,8
Very Good,Can be noisy with the train station just outside the window. Earplugs were provided in the room.,Close to Waterloo station. The breakfast is great. Spacious and clean bedroom for London standards.,8.0,July 2024,"July 5, 2024",Luxury Double Room,3,Solo traveler,8
Very Good,,"Excellent location 
Clean comfortable rooms",8.0,July 2024,"July 4, 2024",Luxury Double Room,1,Couple,8
Enjoy the stay very much.,,"Location, Breakfast",9.0,June 2024,"July 3, 2024",Single Room with Shower,2,Family,8
Wonderful,"Close to train station, noisy",Great Location adn bar,9.0,June 2024,"June 29, 2024",Single Room with Shower,2,Group,8
Brilliant place with excellent value for money!,,This place gives phenomenal value for money!  Great little touches in the room make this a great quality option and the inclusion of breakfast was fab!  Would definitely return!,8.0,June 2024,"June 28, 2024",Double Room with Shower,1,Couple,8
"Great location, friendly staff, brilliant breakfast, clean room would be ten star if it had aircon","There was no aircon in the room which was an issue as this week was hot and humid. There was a fan which I had to keep on all night but that was noisy. For a woman of a certain age, this made it difficult to sleep.","The staff were really friendly and made my stay a pleasure. The food was amazing, the breakfast was of amazing quality. The location of the hotel was ideal and close to the station and the Southbank centre. The room had great products, shampoo, conditioner, body wash. Coffee and tea bags.",7.0,June 2024,"June 28, 2024",Single Room with Shower,1,Solo traveler,8
"Great location, lovely breakfast, comfortable and clean.",There wasn't anything negative to comment on and we enjoyed our stay.,"The hotel is situated right across the road from Waterloo Station, which makes it a great location to connect anywhere in the city. The London Eye and Southbank are just a short 10 min walk away from the hotel.  
We arrived early in London but the hotel staff kindly stored out bags for us all day until we were ready to check-in. 

The room was small, but clean and contained everything we needed (kettle, tea, coffee, hot chocolate etc). 
We were very grateful for the bedside fan as summer finally arrived in London this weekend, and it was still quite hot in the evening. 
We had a really good powerful rainfall shower with complimentary shower gel, shampoo and conditioner, also the little vanity kits and shower caps came in handy. 
We really enjoyed the breakfast which was plentiful and we had a menu with options. The Full English is highly recommended. 
Again the hotel staff were kind enough to let us store our luggage all day, even after check out and this was much appreciated. All the staff members we interacted with were lovely and friendly. I would definitely recommend staying here and I will do so again when I next visit London.",8.0,June 2024,"June 25, 2024",Double Room with Shower,2,Family,8
Wonderful,Difficulty with the shower..and it was a bit small..location was great but was noisy,All was great.. good location excellent staff and facilities,9.0,June 2024,"June 22, 2024",Single Room with Shower,1,Solo traveler,8
Excellent location opposite Waterloo Station.,Single room was a little small and a bit tired.,"Great location and staff were very helpful.
Bag dropped off early in the morning and well in advance of check in. Table reserved in the downstairs pub for that evening and resident’s discount on food & drink. Breakfast was good too.",8.0,June 2024,"June 22, 2024",Single Room with Shower,2,Solo traveler,8
"Pleasant, clean and good value",Rooms were very hot but they did have a fan and the road noise outside was loud but ear plugs soon fix that,Great location opposite Waterloo Station and walking distance from Westminster. Great breakfast and clean room.,9.0,June 2024,"June 22, 2024",Double Room with Shower,1,Couple,8
