Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Exceptional,"There was a little bit of a mixup with our reservation that could have been handled better, but I'm nitpicking here. It was handled efficiently in the end.",It was an affordable option in a great location if you are visiting London.,10.0,March 2022,"May 24, 2022",Standard Double Room with Sofa Bed,2,Family,8,0,0,0,0,0,0,0,0,1,0
Very Good,"The shower temperature fluctuates, and the toilet occasionally has flushing issues, so the bathroom may need renovation.","We spent 10 days at the hotel. The room was nice, and the breakfast and location were great. 
The staff was also very friendly.",8.0,August 2024,"August 24, 2024",Standard Double Room,9,Couple,8,0,1,0,0,0,0,1,0,1,0
Clean comfortable room and good breakfast,,Great breakfast selection. Cosy clean comfortable room.,8.0,July 2024,"August 22, 2024",Standard Twin Room,2,Group,8,0,0,0,0,0,0,1,0,0,0
Very Good,nothing.,"room :-was clean and tidy , breakfast:-was good and tasty , location:- great for us , we visited the theatre.",8.0,August 2024,"August 22, 2024",Standard Double Room with Sofa Bed,2,Family,8,0,0,0,0,0,0,1,0,1,0
Loved it.,,"Located in Hammersmith, via District, Picadily and Hammersmith lines as well as Uber Thames Clipper boat from Thames London is accessible tremendously easy.",8.0,August 2024,"August 22, 2024",Standard Twin Room,3,Family,8,1,0,0,0,0,0,0,0,0,0
Loved it,,"Located in Hammersmith, via District, Picadily and Hammersmith lines as well as Uber Thames Clipper boat from Thames London is accessible tremendously easy.",8.0,August 2024,"August 22, 2024",Standard Twin Room,1,Family,8,1,0,0,0,0,0,0,0,0,0
Would definitely stay again,,Staff were extremely helpful room clean. Breakfast was lovely lots of choice,9.0,August 2024,"August 19, 2024",Standard Twin Room,2,Family,8,0,0,0,0,0,0,1,0,0,0
Good value for money stay in Hammersmith London,"Out of the 2 elevators, 1 was always out or order which caused some waiting time to get up/down sometimes. 
The towels were not so nice, there was one in the room that was all ripped, and they were not so soft.
There could be a little bit more options in breakfast such as more types of breads, cheese, ham...","Considering London is a very expensive city in Europe, this hotel is good value for money. Hammersmith is an easy location from/to the LHR airport which facilitates a lot the commute. 
Bed was comfort and the room and bathroom were quite ok.
Even with the ""dislikes"" mentioned below, which I consider them being minor issues, the stay was overall satisfactory.",7.0,August 2024,"August 18, 2024",Standard Twin Room,3,Family,8,0,0,0,0,0,0,0,1,1,0
Wonderful,,The staff were really friendly and helpful,9.0,August 2024,"August 16, 2024",Standard Double Room with Sofa Bed,4,Family,8,0,0,0,0,1,0,0,0,0,0
Wonderful,Good food for the cost,Yes,9.0,August 2024,"August 16, 2024",Standard Twin Room,1,Family,8,0,0,0,0,0,0,0,1,0,0
Good,A/c not working,Air conditioner did not work in the room. Staff gave us another room and gave us a discount for that night. Second room was very nice.,7.0,July 2024,"August 15, 2024",Standard Double Room with Sofa Bed,2,Family,8,1,0,0,0,0,0,0,0,0,0
"A convenient and clean hotel, with friendly staff and great food","The air conditioning unit kept hanging off the wall and didn't work, it was very warm so, that would have really helped, instead there was just one fan to keep 4 of us cool","It was clean, the staff were friendly, the decor was modern, the breakfast was lovely and our room was nice",8.0,August 2024,"August 12, 2024",Standard Double Room with Sofa Bed,2,Family,8,0,1,0,1,0,0,1,0,0,0
Are stay was pleasent and we had a good time in London,"Noise insulation from street could be better, but OK","Cleanness, location excellent",9.0,July 2024,"August 5, 2024",Standard Double Room,5,Couple,8,0,0,0,0,0,0,0,0,1,0
